,team_name,href,id,year,league_id
7,SC Freiburg,/sc-freiburg/startseite/verein/60/saison_id/2022,60,2022,1
8,1.FC Union Berlin,/1-fc-union-berlin/startseite/verein/89/saison_id/2022,89,2022,1
9,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2022,533,2022,1
10,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39/saison_id/2022,39,2022,1
11,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79/saison_id/2022,79,2022,1
12,FC Augsburg,/fc-augsburg/startseite/verein/167/saison_id/2022,167,2022,1
13,1.FC Köln,/1-fc-koln/startseite/verein/3/saison_id/2022,3,2022,1
14,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86/saison_id/2022,86,2022,1
15,Hertha BSC,/hertha-bsc/startseite/verein/44/saison_id/2022,44,2022,1
16,FC Schalke 04,/fc-schalke-04/startseite/verein/33/saison_id/2022,33,2022,1
17,VfL Bochum,/vfl-bochum/startseite/verein/80/saison_id/2022,80,2022,1
